,,,,,,,,,,,,,,,,,,,,,,
"Froedtert Memorial Lutheran Hospital",,,,,,,,,,,,,,,,,,,,1/20/2015,,
,,,,,,,,,,,,,,,,,,,,"Page 1 of 40",,
,,,,,,,,,"Incomplete Sets",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Pos",,"Tgt.",,"Act.",,,"No.",,,"Item No.",,,,,,"Name",,,,"Repair",
,,,,,,,,,,,,,,,,,,,,,,
"BENDO001",,,,,,,,,,,"S/N:",,"003",,,,"LAPSC AESOP COLLAR HOLDER 3",,,,,
,3,,2,,1,,,-1,,,"2550185",,,,,,"Inserts Aesop",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN001",,,,,,,,,,,"S/N:",,"001",,,,"BOWEL SPECIALS GENERAL 1",,,,,
,4,,2,,1,,,-1,,,"SU6130",,,,,,"Clmp Glassman 90Deg",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN003",,,,,,,,,,,"S/N:",,"004",,,,"BX CENTRAL LINE 4",,,,,
,18,,2,,1,,,-1,,,"320-110",,,,,,"Debakey Vascular Tissue Forceps 6"" 2mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN007",,,,,,,,,,,"S/N:",,"001",,,,"MAJOR BASIC PAN 1 1",,,,,
,11,,4,,3,,,-1,,,"BH144R",,,,,,"Clamp Crile 5-1/2"" Str",,,,,
,23,,2,,1,,,-1,,,"BF122R",,,,,,"Clamp Ring Forceps",,,,,
,47,,2,,0,,,-2,,,"FB402R",,,,,,"Forceps Debakey 8"" 2mm",,,,,
,52,,1,,0,,,-1,,,"BD611R",,,,,,"Forceps Ferris Smith  7"" 2x3/th",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"004",,,,"MAJOR BASIC PAN 1 4",,,,,
,22,,4,,2,,,-2,,,"477116",,,,,,"Clamp Vanderbilt",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"007",,,,"MAJOR BASIC PAN 1 7",,,,,
