,,,,,,,,,,,,,,,,,,,,,
,"Below target quantity",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Froedtert Memorial Lutheran Hospital",,,,,,,,,,,,,,,,,,,,9/30/2016,
,,,,,,,,,,,,,,,,,,,,"Page 1 of 46",
,,,,,,,,,"Incomplete Sets",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Pos",,"Tgt.",,"Act.",,,"No.",,,"Item No.",,,,,,"Name",,,,"Repair"
,,,,,,,,,,,,,,,,,,,,,
"BENDO002",,,,,,,,,,,"S/N:",,"009",,,,"LAPSC BASIC 9",,,,
,15,,1,,0,,,-1,,,"250-080-697r",,,,,,"Ratcheted Retention, Grasper",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN007",,,,,,,,,,,"S/N:",,"015",,,,"MAJOR BASIC PAN 1 15",,,,
,36,,2,,1,,,-1,,,"BM036R",,,,,,"Needle Holder Debakey  9""",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN009",,,,,,,,,,,"S/N:",,"003",,,,"MINOR BASIC 3",,,,
,5,,2,,1,,,-1,,,"BF463R",,,,,,"Clamp Towel Clip 5-1/8"" Non Perf",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN010",,,,,,,,,,,"S/N:",,"003",,,,"RECTAL GENERAL 3",,,,
,19,,1,,0,,,-1,,,"734200",,,,,,"Gaylor Biopsy Punch 9-1/4"" 7.5mm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"005",,,,"RECTAL GENERAL 5",,,,
,19,,1,,0,,,-1,,,"734200",,,,,,"Gaylor Biopsy Punch 9-1/4"" 7.5mm",,,,
,40,,1,,0,,,-1,,,"80-2715",,,,,,"Buie Suction Tube W/valve 15fr",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN012",,,,,,,,,,,"S/N:",,"003",,,,"RETR UPPER HAND 3",,,,
,2,,2,,1,,,-1,,,"166000",,,,,,"Polyclamp",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN014",,,,,,,,,,,"S/N:",,"003",,,,"RECTAL FISTULA GEN 3",,,,
,2,,2,,1,,,-1,,,"SU760",,,,,,"Buie Fistula Probe 5-3/8 Lt",,,,
,13,,1,,0,,,-1,,,"AU6606",,,,,,"Spratt Mastoid Curette 6-1/2"" #4",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN018",,,,,,,,,,,"S/N:",,"001",,,,"TRACH GEN 1",,,,
,32,,1,,0,,,-1,,,"054165",,,,,,"Hook Trachea  7-1/2"" Sharp 7x1mm",,,,
,35,,2,,1,,,-1,,,"070116",,,,,,"Retractor Jackson Tracheal Dbl End *",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"006",,,,"TRACH GEN 6",,,,
,35,,2,,1,,,-1,,,"070116",,,,,,"Retractor Jackson Tracheal Dbl End *",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN025",,,,,,,,,,,"S/N:",,"004",,,,"RETR THOMPSON BLD GEN 4",,,,
,2,,2,,1,,,-1,,,"42112C",,,,,,"Clamp Slide On Big Big",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"006",,,,"RETR THOMPSON BLD GEN 6",,,,
,6,,1,,0,,,-1,,,"43032",,,,,,"Wrench",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"BGEN028",,,,,,,,,,,"S/N:",,"003",,,,"DR EVANS ABDOMINAL SPECIALS 3",,,,
,10,,2,,1,,,-1,,,"CV5110",,,,,,"Fogarty Spring Clip Appl Forceps 7-1/4"" 6mm",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
