,,,,,,,,,,,,,,,,,,,,,,
,"Below target quantity",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Froedtert Memorial Lutheran Hospital",,,,,,,,,,,,,,,,,,,,5/22/2015,,
,,,,,,,,,,,,,,,,,,,,"Page 1 of 33",,
,,,,,,,,,"Incomplete Sets",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Pos",,"Tgt.",,"Act.",,,"No.",,,"Item No.",,,,,,"Name",,,,"Repair",
,,,,,,,,,,,,,,,,,,,,,,
"BENDO001",,,,,,,,,,,"S/N:",,"003",,,,"LAPSC AESOP COLLAR HOLDER 3",,,,,
,3,,2,,1,,,-1,,,"2550185",,,,,,"Inserts Aesop",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN003",,,,,,,,,,,"S/N:",,"004",,,,"BX CENTRAL LINE 4",,,,,
,18,,2,,1,,,-1,,,"320-110",,,,,,"Debakey Vascular Tissue Forceps 6"" 2mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN007",,,,,,,,,,,"S/N:",,"001",,,,"MAJOR BASIC PAN 1 1",,,,,
,20,,1,,0,,,-1,,,"496112",,,,,,"Westphal Duct Clamp 7-1/2"" 80°",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"MAJOR BASIC PAN 1 2",,,,,
,40,,2,,0,,,-2,,,"354906",,,,,,"Needle Holder Debakey  11-3/4""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"004",,,,"MAJOR BASIC PAN 1 4",,,,,
,31,,1,,0,,,-1,,,"BC558R",,,,,,"Mayo Dissect Scissors Tc 9"" Str Blvd Bld",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"007",,,,"MAJOR BASIC PAN 1 7",,,,,
,37,,2,,1,,,-1,,,"BM036R",,,,,,"Needle Holder Debakey  9""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"008",,,,"MAJOR BASIC PAN 1 8",,,,,
,33,,1,,0,,,-1,,,"BC281R",,,,,,"Nelson Metz Scissors Tc 11"" Cvd Del",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"020",,,,"MAJOR BASIC PAN 1 20",,,,,
,52,,2,,0,,,-2,,,"BD671R",,,,,,"Forceps Waugh (Cushing) W/Teeth 8""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"022",,,,"MAJOR BASIC PAN 1 22",,,,,
,40,,2,,1,,,-1,,,"354906",,,,,,"Needle Holder Debakey  11-3/4""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN008",,,,,,,,,,,"S/N:",,"006",,,,"MAJOR BASIC PAN 2 6",,,,,
,30,,2,,1,,,-1,,,"LC410",,,,,,"Appl Ligaclip  Lrg/Lng (Yellow Handle Cover)",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"007",,,,"MAJOR BASIC PAN 2 7",,,,,
,9,,1,,0,,,-1,,,"481801",,,,,,"Retractor Deaver Hollow Handle 13x1""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN009",,,,,,,,,,,"S/N:",,"028",,,,"MINOR BASIC 28",,,,,
,13,,2,,1,,,-1,,,"EA031R",,,,,,"Babcock Tissue Clamp 6-3/4""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN010",,,,,,,,,,,"S/N:",,"002",,,,"RECTAL GENERAL 2",,,,,
,16,,1,,0,,,-1,,,"23-1046",,,,,,"Curette #3",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"003",,,,"RECTAL GENERAL 3",,,,,
,12,,1,,0,,,-1,,,"SU860",,,,,,"Stewart Crypt Hook 8-1/2"" Hook 7/8""",,,,,
,25,,1,,0,,,-1,,,"SU162",,,,,,"Sawyer Rectal Retractor Sm",,,,,
,26,,1,,0,,,-1,,,"202150",,,,,,"Retractor Sawyer Rectal Small",,,,,
,27,,1,,0,,,-1,,,"202151",,,,,,"Retractor Sawyer Rectal Med",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"006",,,,"RECTAL GENERAL 6",,,,,
,16,,1,,0,,,-1,,,"23-1046",,,,,,"Curette #3",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN012",,,,,,,,,,,"S/N:",,"003",,,,"RETR UPPER HAND 3",,,,,
,2,,2,,1,,,-1,,,"166000",,,,,,"Polyclamp",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN014",,,,,,,,,,,"S/N:",,"002",,,,"RECTAL FISTULA GEN 2",,,,,
,6,,1,,0,,,-1,,,"OP7030-034",,,,,,"Williams Lacrimal Probe 5-1/2"" #3/4",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN018",,,,,,,,,,,"S/N:",,"003",,,,"TRACH GEN 3",,,,,
,12,,2,,0,,,-2,,,"475307",,,,,,"Clamp Coller  5-1/2"" Strong Cvd",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN024",,,,,,,,,,,"S/N:",,"002",,,,"SCOPE COLON FLEX GEN 2",,,,,
,4,,1,,0,,,-1,,,"MB358",,,,,,"Biopsy Valve  Semi-Disposable",,,,,
,5,,1,,0,,,-1,,,"MH438",,,,,,"Air/Water Valve",,,,,
,6,,1,,0,,,-1,,,"MH443",,,,,,"Suction Valve",,,,,
,9,,1,,0,,,-1,,,"MAJ-901",,,,,,"Water Container",,,,,
,10,,1,,0,,,-1,,,"0108",,,,,,"Lid That Has Water Tube Connected To It",,,,,
,11,,1,,0,,,-1,,,"0109",,,,,,"Green O Ring",,,,,
,12,,1,,0,,,-1,,,"0110",,,,,,"Bottle (Can Be Opaque Or Clear)",,,,,
,13,,1,,0,,,-1,,,"0111",,,,,,"Bottle Protector White (For Clear Bottle Only)",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN025",,,,,,,,,,,"S/N:",,"003",,,,"RETR THOMPSON BLD GEN 3",,,,,
,23,,2,,1,,,-1,,,"46124",,,,,,"Interchangeable Malleable Retr 2-1/2x10""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN028",,,,,,,,,,,"S/N:",,"001",,,,"DR EVANS ABDOMINAL SPECIALS 1",,,,,
,21,,4,,3,,,-1,,,"CH2425",,,,,,"Crile Wood Needle Holder Tc 9"" Serr",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN030",,,,,,,,,,,"S/N:",,"001",,,,"DR GAMBLIN ABDOMINAL SPECIALS 1",,,,,
,14,,3,,2,,,-1,,,"3003-418",,,,,,"Needle Holder Blue Titanium",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"002",,,,"DR GAMBLIN ABDOMINAL SPECIALS 2",,,,,
,17,,1,,0,,,-1,,,"FB161R",,,,,,"Debakey Dilator 7-1/2"" Mall 1mm",,,,,
,19,,1,,0,,,-1,,,"FB162R",,,,,,"Debakey Dilator 7-1/2"" Mall 1.5mm",,,,,
,25,,1,,0,,,-1,,,"FB165R",,,,,,"Debakey Dilator 7-1/2"" Mall 3mm",,,,,
,31,,1,,0,,,-1,,,"FB168R",,,,,,"Debakey Dilator 7-1/2"" Mall 4.5mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN031",,,,,,,,,,,"S/N:",,"002",,,,"CLAMP PROFUNDA SM 2",,,,,
,3,,1,,0,,,-1,,,"6006-70",,,,,,"Needleholder-Micro- Straight Lock (17Cm)",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN032",,,,,,,,,,,"S/N:",,"001",,,,"CLAMP ALLIS ADAIR 1",,,,,
,2,,2,,1,,,-1,,,"CH1565",,,,,,"Allis Adair Tissue Clamp 9""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN037",,,,,,,,,,,"S/N:",,"001",,,,"BREAST SPECIALS 1",,,,,
,26,,2,,1,,,-1,,,"6-134",,,,,,"Forceps Martin 6""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"005",,,,"BREAST SPECIALS 5",,,,,
,16,,1,,0,,,-1,,,"400-946",,,,,,"Scissors Rees Facelift  Cvd  6-3/4""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"S/N:",,"010",,,,"BREAST SPECIALS 10",,,,,
,31,,2,,1,,,-1,,,"200-297",,,,,,"Volkman Retractor 8-3/4"" 4-prng B/",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BGEN038",,,,,,,,,,,"S/N:",,"004",,,,"SMALL PROCEDURE PAN GENERAL 4",,,,,
,12,,1,,0,,,-1,,,"BC569R",,,,,,"Mayo Noble Scissors 6-3/4"" Cvd Broad Bld",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"BTRA002",,,,,,,,,,,"S/N:",,"003",,,,"MAJOR VASCULAR/TRAUMA 3",,,,,
,16,,2,,1,,,-1,,,"37-1141",,,,,,"Clamp Debakey Aorta  10-1/2"" Cvd 85mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"CVICU002",,,,,,,,,,,"S/N:",,"001",,,,"CHEST SET CVICU 1",,,,,
,8,,2,,1,,,-1,,,"BF122R",,,,,,"Clamp Ring Forceps",,,,,
,16,,2,,0,,,-2,,,"510415",,,,,,"Crile Wood Needle Holder Tc 9""",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"ECANCTR010",,,,,,,,,,,"S/N:",,"001",,,,"TRACH EMERGENCY HOPE 1",,,,,
,8,,1,,0,,,-1,,,"26-3861",,,,,,"Needle Holder Castro",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"ECLI037",,,,,,,,,,,"S/N:",,"001",,,,"I R STRYKER ASNIS 6.5/8.0 SS ""C"" I R 1",,,,,
,2,,1,,0,,,-1,,,"702625",,,,,,"Cleaning Stylet 3.2mm",,,,,
,4,,1,,0,,,-1,,,"702626",,,,,,"Drill Bit 3.2mm",,,,,
,25,,6,,5,,,-1,,,"390016",,,,,,"Washer 13mm",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
